
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
[D1 7c D 5017	2024-07-02 10:07:18
DL?§CBJ1f58lJ	2024-07-02 10:07:27
iL2§AT£762‘	2024-07-02 10:07:33
HR2BC[6888|	2024-07-02 10:07:42
NumberPlate	Date	Time
NumberPlate	Date	Time
[D1 7c D 5017	2024-07-02 10:09:50 
DL?§CBJ1f58lJ	2024-07-02 10:09:59 
iL2§AT£762‘	2024-07-02 10:10:06 
HR2BC[6888|	2024-07-02 10:10:15 
NumberPlate	Date	Time
[D1 7c D 5017	2024-07-04 13:49:27 
DL?§CBJ1f58lJ	2024-07-04 13:49:36 
iL2§AT£762‘	2024-07-04 13:49:43 
HR2BC[6888|	2024-07-04 13:49:51 
NumberPlate	Date	Time
[D1 7c D 5017	2024-07-04 13:50:20 
DL?§CBJ1f58lJ	2024-07-04 13:50:29 
iL2§AT£762‘	2024-07-04 13:50:38 
HR2BC[6888|	2024-07-04 13:50:47 
NumberPlate	Date	Time
[D1 7c D 5017	2024-07-08 13:37:23 
DL?§CBJ1f58lJ	2024-07-08 13:37:32 
iL2§AT£762‘	2024-07-08 13:37:38 
HR2BC[6888|	2024-07-08 13:37:47 
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
NumberPlate	Date	Time
lrummu ‘	2024-07-08 13:45:33 
pumuu 1	2024-07-08 13:45:33 
1 mm mm	2024-07-08 13:45:34 
pun mm	2024-07-08 13:45:35 
lmnuwu	2024-07-08 13:45:36 
	2024-07-08 13:45:41 
Imsnw	2024-07-08 13:45:51 
| mus aw	2024-07-08 13:45:52 
Lmsum	2024-07-08 13:45:54 
|1TnI mu	2024-07-08 13:46:39 
ms um	2024-07-08 13:46:52 
«A54 m	2024-07-08 13:46:59 
rwmn	2024-07-08 13:47:10 
NumberPlate	Date	Time
NumberPlate	Date	Time
lrummu ‘	2024-07-08 13:59:33 
pumuu 1	2024-07-08 13:59:33 
1 mm mm	2024-07-08 13:59:34 
pun mm	2024-07-08 13:59:35 
lmnuwu	2024-07-08 13:59:35 
	2024-07-08 13:59:40 
NumberPlate	Date	Time
[D1 7c D 5017	2024-07-08 14:00:14 
DL?§CBJ1f58lJ	2024-07-08 14:00:23 
iL2§AT£762‘	2024-07-08 14:00:30 
HR2BC[6888|	2024-07-08 14:00:39 
NumberPlate	Date	Time
[D1 7c D 5017	2024-07-08 14:14:57 
DL?§CBJ1f58lJ	2024-07-08 14:15:06 
iL2§AT£762‘	2024-07-08 14:15:13 
HR2BC[6888|	2024-07-08 14:15:31 
NumberPlate	Date	Time
[D1 7c D 5017	2024-07-09 15:58:07 
DL?§CBJ1f58lJ	2024-07-09 15:58:16 
iL2§AT£762‘	2024-07-09 15:58:22 
HR2BC[6888|	2024-07-09 15:58:31 
